customer_key,customer_name,industry,vertical,address,city,county,postcode
53,Pilar Romero Caceres,Residential,Residential,Psje. Libertad 2369,"Cerro Colorado, Arequipa",Arequipa,46211
54,Ricardo Rivera Sanchez,Residential,Residential,Psje. Bolognesi 2608,"Saylla, Cusco",Cusco,69845
55,Marisol Villegas Vasquez,Residential,Residential,Prol. Las Gardenias 826,"Punchana, Iquitos",Loreto,12975
56,Paola Mamani Reyes,Residential,Residential,Calle Puno 2763,"Wanchaq, Cusco",Cusco,30503
57,Mariela Silva Rodriguez,Residential,Residential,Calle Conquistadores 1274,"Centro Historico, Cusco",Cusco,39658
58,Marco Vasquez Fernandez,Residential,Residential,Jr. Javier Prado 370,"Centro, Huancayo",Junin,15132
59,Marisol Aguilar Garcia,Residential,Residential,Av. Ayacucho 320,"Victor Larco Herrera, Trujillo",La Libertad,18759
60,Clinica San Pablo,Healthcare,SMB,Jr. Los Eucaliptos 1461,"Florencia de Mora, Trujillo",La Libertad,60626
61,Raul Ramos Condori,Residential,Residential,Prol. Bolognesi 182,"Santa Rosa, Chiclayo",Lambayeque,16561
62,Andres Carrasco Palacios,Residential,Residential,Calle Cusco 3297,"Jose Luis Bustamante y Rivero, Arequipa",Arequipa,34817
63,Carolina Ponce Aguilar,Residential,Residential,Av. Conquistadores 1971,"San Juan Bautista, Iquitos",Loreto,79269
64,Diana Reyes Silva,Residential,Residential,Jr. Benavides 1795,"El Porvenir, Trujillo",La Libertad,63319
65,Maria Espinoza Huaman,Residential,Residential,Av. Grau 3040,"Yanahuara, Arequipa",Arequipa,60995
66,Juan Jimenez Silva,Residential,Residential,Psje. Tacna 2769,"Socabaya, Arequipa",Arequipa,46913
67,Carolina Gonzalez Cruz,Residential,Residential,Av. La Marina 1901,"Centro, Iquitos",Loreto,72995
68,Mario Hernandez Delgado,Residential,Residential,Jr. La Encalada 597,"Santa, Chimbote",Ancash,71673
69,Arturo Perez Martinez,Residential,Residential,Calle Libertad 3285,"Catacaos, Piura",Piura,24867
70,Jose Ortiz Rojas,Residential,Residential,Psje. El Polo 1456,"Belen, Iquitos",Loreto,80052
71,Manuel Soto Vasquez,Residential,Residential,Av. 28 de Julio 2792,"Bellavista, Callao",Callao,84437
72,Hugo Diaz Romero,Residential,Residential,Psje. Caminos del Inca 826,"Jose Leonardo Ortiz, Chiclayo",Lambayeque,78544
73,JJC Contratistas,Construction,Enterprise,Jr. Brasil 2856,"Belen, Iquitos",Loreto,66242
74,Manuel Medina Rojas,Residential,Residential,Calle Abancay 3160,"Centro Historico, Cusco",Cusco,26233
75,Daniel Gonzalez Zarate,Residential,Residential,Prol. Primavera 1302,"Nuevo Chimbote, Chimbote",Ancash,52561
76,Milagros Castro Jimenez,Residential,Residential,Calle Ica 2662,"Coishco, Chimbote",Ancash,79448
77,Elizabeth Romero Condori,Residential,Residential,Calle Santa Cruz 1268,"Coishco, Chimbote",Ancash,21667
78,Rosa Silva Huaman,Residential,Residential,Prol. Libertad 1222,"Santiago, Cusco",Cusco,17389
79,Hector Medina Sanchez,Residential,Residential,Av. Comandante Espinar 2720,"Jose Luis Bustamante y Rivero, Arequipa",Arequipa,93523
80,Julio Quispe Torres,Residential,Residential,Av. La Encalada 3018,"Chilca, Huancayo",Junin,14587
81,Gonzalo Gonzalez Rodriguez,Residential,Residential,Av. Brasil 2953,"Victor Larco Herrera, Trujillo",La Libertad,91929
82,Pablo Garcia Quispe,Residential,Residential,Prol. San Martin 139,"La Victoria, Chiclayo",Lambayeque,70363
83,Luz Jimenez Aguilar,Residential,Residential,Prol. 28 de Julio 672,"La Perla, Callao",Callao,95619
84,Sandra Medina Zarate,Residential,Residential,Prol. Universitaria 1140,"San Juan Bautista, Iquitos",Loreto,40201
85,Juan Ruiz Herrera,Residential,Residential,Psje. 28 de Julio 598,"Jesus, Cajamarca",Cajamarca,71359
86,David Benavides Vargas,Residential,Residential,Jr. Colonial 1526,"Jose Leonardo Ortiz, Chiclayo",Lambayeque,22993
87,Alejandro Flores Paredes,Residential,Residential,Prol. Los Pinos 2454,"Santa, Chimbote",Ancash,99742
88,Luis Benavides Ramirez,Residential,Residential,Psje. El Polo 2179,"Moche, Trujillo",La Libertad,56439
89,Enel Peru,Energy,Enterprise,Jr. Primavera 3321,"Pilcomayo, Huancayo",Junin,88939
90,Clinica Good Hope,Healthcare,Enterprise,Av. Primavera 877,"Punchana, Iquitos",Loreto,17917
91,Andrea Vega Reyes,Residential,Residential,Av. Las Orquideas 519,"Centro, Cajamarca",Cajamarca,68115
92,Flor Sanchez Condori,Residential,Residential,Jr. Las Orquideas 2801,"Paucarpata, Arequipa",Arequipa,66528
93,Marisol Zarate Gutierrez,Residential,Residential,Av. Colonial 3332,"Huancan, Huancayo",Junin,85447
94,Javier Delgado Ramos,Residential,Residential,Jr. Ica 1106,"San Jeronimo, Cusco",Cusco,41876
95,Jorge Vega Castro,Residential,Residential,Av. Cusco 3078,"Huancan, Huancayo",Junin,96270
96,Gabriel Arias Zarate,Residential,Residential,Av. Libertad 1336,"Nuevo Chimbote, Chimbote",Ancash,91565
97,Clinica Javier Prado,Healthcare,Enterprise,Calle La Encalada 2851,"Banos del Inca, Cajamarca",Cajamarca,47133
98,Javier Paredes Nunez,Residential,Residential,Prol. Primavera 2650,"Cerro Colorado, Arequipa",Arequipa,41351
99,ESAN,Education,SMB,Calle La Marina 748,"Jose Luis Bustamante y Rivero, Arequipa",Arequipa,38367
100,Jimena Garcia Soto,Residential,Residential,Av. Los Alamos 278,"Cayma, Arequipa",Arequipa,12659
101,Belmond,Hospitality,Enterprise,Jr. Benavides 1457,"Nuevo Chimbote, Chimbote",Ancash,65227
102,Gabriel Valenzuela Hernandez,Residential,Residential,Jr. Abancay 1497,"Chilca, Huancayo",Junin,25045
103,Daniela Ruiz Salazar,Residential,Residential,Jr. Brasil 376,"Cayma, Arequipa",Arequipa,39503
104,Cesar Hernandez Castillo,Residential,Residential,Psje. Cusco 807,"Centro, Callao",Callao,85885
105,Ricardo Soto Vera,Residential,Residential,Prol. Colonial 1707,"Santa Rosa, Chiclayo",Lambayeque,79070
106,Marco Villegas Reyes,Residential,Residential,Av. 28 de Julio 3380,"Chilca, Huancayo",Junin,41168
107,Ana Rodriguez Fernandez,Residential,Residential,Calle Benavides 2445,"Centro, Chiclayo",Lambayeque,26596
108,Paola Benavides Ramirez,Residential,Residential,Jr. Tacna 2448,"Centro, Chimbote",Ancash,99386
109,Patricia Morales Vargas,Residential,Residential,Psje. Grau 2801,"Centro, Chimbote",Ancash,95088
110,Miguel Reyes Vargas,Residential,Residential,Psje. Huancavelica 1091,"Subtanjalla, Ica",Ica,95337
111,Juan Cruz Diaz,Residential,Residential,Jr. Los Eucaliptos 1641,"Punchana, Iquitos",Loreto,31599
112,Mariana Huaman Hernandez,Residential,Residential,Psje. Los Eucaliptos 1575,"Chilca, Huancayo",Junin,31204
113,Alejandro Mendoza Aguilar,Residential,Residential,Jr. Primavera 1865,"Llacanora, Cajamarca",Cajamarca,61092
114,Maria Delgado Sanchez,Residential,Residential,Calle Las Orquideas 924,"Centro, Chimbote",Ancash,32518
115,Juan Rodriguez Ramirez,Residential,Residential,Calle Los Cedros 1007,"Pimentel, Chiclayo",Lambayeque,47251
116,Juan Espinoza Morales,Residential,Residential,Psje. Huancavelica 3357,"Paucarpata, Arequipa",Arequipa,54454
117,Patricia Mamani Palacios,Residential,Residential,Psje. Los Eucaliptos 3062,"Centro, Chiclayo",Lambayeque,86688
118,Patricia Ponce Nunez,Residential,Residential,Psje. Comandante Espinar 2911,"Castilla, Piura",Piura,31666
119,Clinica Delgado,Healthcare,Enterprise,Psje. 28 de Julio 866,"La Victoria, Chiclayo",Lambayeque,78235
120,Ivan Carrasco Gomez,Residential,Residential,Calle Reducto 2221,"San Juan Bautista, Iquitos",Loreto,96361
121,Oscar Gomez Vera,Residential,Residential,Prol. Puno 536,"Florencia de Mora, Trujillo",La Libertad,12484
122,Rosa Espinoza Cruz,Residential,Residential,Av. Huancavelica 170,"Catacaos, Piura",Piura,38614
123,Hector Benavides Vasquez,Residential,Residential,Av. Los Eucaliptos 892,"San Juan de Lurigancho, Lima",Lima,81575
124,Manuel Ponce Gomez,Residential,Residential,Psje. Arequipa 650,"La Victoria, Chiclayo",Lambayeque,86463
125,Mariana Carrasco Valenzuela,Residential,Residential,Psje. Ica 1186,"La Punta, Callao",Callao,18876
126,Javier Espinoza Castro,Residential,Residential,Psje. Cusco 2657,"Chorrillos, Lima",Lima,73080
127,Patricia Benavides Ortiz,Residential,Residential,Prol. Emancipacion 1880,"Punchana, Iquitos",Loreto,11268
128,Vanessa Nunez Mamani,Residential,Residential,Av. Wilson 1003,"Saylla, Cusco",Cusco,92059
129,Alfredo Sanchez Vargas,Residential,Residential,Prol. Los Alamos 2163,"Castilla, Piura",Piura,31340
130,Marisol Reyes Herrera,Residential,Residential,Jr. Javier Prado 2787,"Centro, Ica",Ica,84770
131,Raul Benavides Carrasco,Residential,Residential,Calle Los Pinos 3256,"Subtanjalla, Ica",Ica,89196
132,Ana Vargas Reyes,Residential,Residential,Prol. Conquistadores 2597,"Saylla, Cusco",Cusco,60164
133,Anglo American Quellaveco,Mining,Enterprise,Psje. Cusco 594,"Centro, Piura",Piura,17529
134,Alberto Quispe Carrasco,Residential,Residential,Prol. Comandante Espinar 2756,"Villa Maria del Triunfo, Lima",Lima,28386
135,Tiendas EFE,Retail,Enterprise,Av. 28 de Julio 281,"Surquillo, Lima",Lima,19335
136,Jose Sanchez Lopez,Residential,Residential,Calle Emancipacion 3461,"Moche, Trujillo",La Libertad,44324
137,Hospital Almenara,Healthcare,Enterprise,Jr. Los Eucaliptos 1920,"Surco, Lima",Lima,22077
138,David Perez Rodriguez,Residential,Residential,Calle Santa Cruz 1525,"Los Aquijes, Ica",Ica,13322
139,Oscar Lopez Castro,Residential,Residential,Jr. Javier Prado 2099,"Yanahuara, Arequipa",Arequipa,71630
140,Miguel Cordova Ramos,Residential,Residential,Jr. Arequipa 1684,"Jesus, Cajamarca",Cajamarca,92563
141,Marco Romero Rojas,Residential,Residential,Prol. Ica 1281,"San Juan Bautista, Iquitos",Loreto,50627
142,Carolina Ponce Villegas,Residential,Residential,Calle Wilson 1463,"Pilcomayo, Huancayo",Junin,89082
143,Claudia Delgado Campos,Residential,Residential,Jr. Las Gardenias 1723,"Yanahuara, Arequipa",Arequipa,51702
144,Mariela Campos Caceres,Residential,Residential,Jr. La Marina 3433,"El Porvenir, Trujillo",La Libertad,56361
145,Monica Ramirez Delgado,Residential,Residential,Av. La Marina 1119,"San Jeronimo, Cusco",Cusco,10685
146,Silvia Gutierrez Morales,Residential,Residential,Psje. Libertad 636,"Cayma, Arequipa",Arequipa,62031
147,Natalia Perez Espinoza,Residential,Residential,Jr. Bolognesi 2796,"Centro, Iquitos",Loreto,93884
148,Auna,Healthcare,SMB,Jr. Reducto 916,"Hunter, Arequipa",Arequipa,40206
149,Paola Zarate Villegas,Residential,Residential,Psje. Colonial 733,"Santiago, Cusco",Cusco,20480
150,Gabriela Rivera Palacios,Residential,Residential,Psje. La Encalada 1001,"Cerro Colorado, Arequipa",Arequipa,74675
151,Victor Gonzalez Vera,Residential,Residential,Jr. La Marina 2321,"La Esperanza, Trujillo",La Libertad,20126
152,Andres Salazar Vargas,Residential,Residential,Psje. Larco 2761,"Punchana, Iquitos",Loreto,51237
153,Mariana Reyes Palacios,Residential,Residential,Calle Huancavelica 2209,"Carmen de la Legua, Callao",Callao,25843
154,Mariana Ortiz Chavez,Residential,Residential,Psje. Las Palmeras 2619,"Centro, Callao",Callao,22153
155,Enrique Vasquez Hernandez,Residential,Residential,Calle Colonial 3459,"Villa El Salvador, Lima",Lima,28807
156,Alfredo Reyes Carrasco,Residential,Residential,Av. Ayacucho 3404,"La Punta, Callao",Callao,30732
157,Claudia Martinez Valenzuela,Residential,Residential,Prol. Abancay 1765,"San Juan Bautista, Iquitos",Loreto,57174
158,Marisol Salazar Romero,Residential,Residential,Av. Las Orquideas 1506,"Subtanjalla, Ica",Ica,58175
159,BBVA Peru,Banking,Enterprise,Calle Los Cedros 1924,"San Miguel, Lima",Lima,99113
160,Carla Ortiz Condori,Residential,Residential,Calle El Polo 3427,"Victor Larco Herrera, Trujillo",La Libertad,30103
161,Ricardo Castillo Mamani,Residential,Residential,Av. Larco 2345,"Ventanilla, Callao",Callao,89688
162,Julio Garcia Hernandez,Residential,Residential,Av. Colonial 693,"Banos del Inca, Cajamarca",Cajamarca,27359
163,Enrique Zarate Palacios,Residential,Residential,Calle Benavides 2297,"Coishco, Chimbote",Ancash,21786
164,Electronoroeste,Energy,Enterprise,Av. Conquistadores 3203,"Belen, Iquitos",Loreto,18935
165,Clinica San Felipe,Healthcare,SMB,Av. La Encalada 3100,"Bellavista, Callao",Callao,71253
166,Ana Torres Gonzalez,Residential,Residential,Psje. Bolognesi 2815,"Banos del Inca, Cajamarca",Cajamarca,73552
167,Double Tree,Hospitality,SMB,Av. La Encalada 1185,"Pueblo Libre, Lima",Lima,56538
168,Alberto Villegas Ponce,Residential,Residential,Calle Cusco 269,"La Punta, Callao",Callao,99952
169,Gobierno Regional Arequipa,Government,Government,Av. Emancipacion 2841,"Centro Historico, Cusco",Cusco,61577
170,Raul Silva Ponce,Residential,Residential,Av. Bolognesi 3065,"Parcona, Ica",Ica,89555
171,Carlos Sanchez Ramirez,Residential,Residential,Prol. Bolognesi 3237,"Chilca, Huancayo",Junin,37361
172,Fernando Garcia Ponce,Residential,Residential,Av. Universitaria 2076,"Independencia, Lima",Lima,84838
173,Hugo Herrera Martinez,Residential,Residential,Jr. Las Orquideas 1708,"Paucarpata, Arequipa",Arequipa,71719
174,Jose Benavides Gonzalez,Residential,Residential,Jr. Brasil 3205,"Centro, Ica",Ica,18443
175,AC Hotel Lima,Hospitality,SMB,Calle Emancipacion 433,"Santiago, Cusco",Cusco,27056
176,Universidad de Lima,Education,SMB,Psje. Universitaria 1514,"Nuevo Chimbote, Chimbote",Ancash,67931
177,Milagros Romero Quispe,Residential,Residential,Calle Ica 2076,"Cercado, Arequipa",Arequipa,30055
178,Katherine Gonzalez Ortiz,Residential,Residential,Av. Ayacucho 3356,"Carabayllo, Lima",Lima,19563
179,Mariana Zarate Ruiz,Residential,Residential,Jr. Tacna 535,"26 de Octubre, Piura",Piura,35562
180,Jorge Chavez Mamani,Residential,Residential,Prol. El Polo 3456,"Chilca, Huancayo",Junin,26250
181,Gustavo Castro Nunez,Residential,Residential,Calle Universitaria 1890,"Villa Maria del Triunfo, Lima",Lima,78705
182,Javier Miranda Garcia,Residential,Residential,Av. Colonial 3161,"La Esperanza, Trujillo",La Libertad,30046
183,Natalia Diaz Ramos,Residential,Residential,Calle Cusco 3488,"Yanahuara, Arequipa",Arequipa,77931
184,Hector Espinoza Huaman,Residential,Residential,Jr. El Polo 3206,"Los Aquijes, Ica",Ica,62738
185,Natalia Hernandez Alvarez,Residential,Residential,Psje. Bolognesi 1799,"Centro, Chiclayo",Lambayeque,71389
186,Diana Huaman Delgado,Residential,Residential,Calle Colonial 2746,"Llacanora, Cajamarca",Cajamarca,50947
187,Rosa Hernandez Mamani,Residential,Residential,Psje. San Martin 1148,"Punchana, Iquitos",Loreto,94244
188,Antamina,Mining,Enterprise,Av. Larco 3273,"La Victoria, Chiclayo",Lambayeque,57332
189,Diana Delgado Ortiz,Residential,Residential,Prol. Universitaria 1179,"Centro, Chiclayo",Lambayeque,85770
190,Rosa Silva Gonzalez,Residential,Residential,Jr. Tacna 3424,"Wanchaq, Cusco",Cusco,20850
191,Caja Arequipa,Banking,Enterprise,Av. Primavera 576,"Los Aquijes, Ica",Ica,42731
192,Diego Diaz Martinez,Residential,Residential,Psje. San Martin 747,"Llacanora, Cajamarca",Cajamarca,51773
193,Pedro Paredes Morales,Residential,Residential,Av. El Polo 2250,"Parcona, Ica",Ica,62713
194,Luz Diaz Arias,Residential,Residential,Calle Emancipacion 1285,"Cerro Colorado, Arequipa",Arequipa,97251
195,Pedro Flores Ramirez,Residential,Residential,Psje. Tacna 1349,"Subtanjalla, Ica",Ica,76028
196,Ximena Condori Hernandez,Residential,Residential,Av. Las Begonias 3303,"San Borja, Lima",Lima,16671
197,Hector Torres Fernandez,Residential,Residential,Calle Los Alamos 1255,"Centro, Iquitos",Loreto,94380
198,Marisol Valenzuela Aguilar,Residential,Residential,Jr. Reducto 1752,"Centro, Trujillo",La Libertad,49312
199,Cecilia Romero Medina,Residential,Residential,Av. Brasil 2609,"Saylla, Cusco",Cusco,46910
200,Hector Fernandez Huaman,Residential,Residential,Av. Reducto 364,"Belen, Iquitos",Loreto,98651
201,Daniel Quispe Caceres,Residential,Residential,Av. Brasil 259,"Nuevo Chimbote, Chimbote",Ancash,86246
202,Hugo Aguilar Arias,Residential,Residential,Jr. Santa Cruz 2236,"Paucarpata, Arequipa",Arequipa,69657
203,Daniela Palacios Garcia,Residential,Residential,Jr. Brasil 3436,"Centro, Cajamarca",Cajamarca,62860
204,Cecilia Perez Huaman,Residential,Residential,Jr. Las Orquideas 1835,"Santa Rosa, Chiclayo",Lambayeque,91082
205,Luz del Sur,Energy,Enterprise,Jr. Libertad 1011,"Huancan, Huancayo",Junin,41462
206,Andrea Ramos Ramos,Residential,Residential,Psje. Abancay 1144,"Ventanilla, Callao",Callao,28315
207,Veronica Castro Herrera,Residential,Residential,Jr. Emancipacion 2250,"Pilcomayo, Huancayo",Junin,36625
208,Jimena Campos Delgado,Residential,Residential,Jr. Ayacucho 1063,"Saylla, Cusco",Cusco,96653
209,Gobierno Regional Lima,Government,Government,Av. Universitaria 752,"Llacanora, Cajamarca",Cajamarca,49439
210,Patricia Aguilar Flores,Residential,Residential,Prol. Universitaria 3328,"Nuevo Chimbote, Chimbote",Ancash,51255
211,Veronica Palacios Carrasco,Residential,Residential,Psje. Los Jazmines 530,"Centro, Cajamarca",Cajamarca,72912
212,Fernanda Ruiz Paredes,Residential,Residential,Av. Larco 567,"Banos del Inca, Cajamarca",Cajamarca,69514
213,Francisco Flores Hernandez,Residential,Residential,Psje. Cusco 366,"Centro, Iquitos",Loreto,12052
214,Clinica Stella Maris,Healthcare,SMB,Av. Wilson 1758,"Victor Larco Herrera, Trujillo",La Libertad,61143
215,Julio Arias Gonzalez,Residential,Residential,Av. Libertad 873,"Santiago, Cusco",Cusco,85378
216,Desarrolladora,Real Estate,SMB,Jr. La Encalada 267,"Llacanora, Cajamarca",Cajamarca,59790
217,Promart,Retail,Enterprise,Calle Los Jazmines 1934,"Centro, Callao",Callao,92611
218,Elektra,Retail,Enterprise,Prol. Santa Cruz 448,"Jesus, Cajamarca",Cajamarca,41488
219,Backus,Food & Beverage,Enterprise,Prol. Primavera 1711,"Victor Larco Herrera, Trujillo",La Libertad,42743
220,Mariela Carrasco Paredes,Residential,Residential,Calle Benavides 2276,"Centro, Iquitos",Loreto,50080
221,Katherine Hernandez Medina,Residential,Residential,Prol. Abancay 365,"San Juan Bautista, Iquitos",Loreto,78955
222,Daniel Cruz Medina,Residential,Residential,Jr. Cusco 2684,"San Sebastian, Cusco",Cusco,14857
223,Mariana Herrera Soto,Residential,Residential,Av. Universitaria 2663,"La Punta, Callao",Callao,16733
224,Rodrigo Arias Caceres,Residential,Residential,Psje. La Encalada 3095,"Magdalena, Lima",Lima,98622
225,Caja Piura,Banking,Enterprise,Av. Los Eucaliptos 2784,"Subtanjalla, Ica",Ica,33637
226,Hugo Espinoza Mamani,Residential,Residential,Psje. Abancay 2254,"Centro, Cajamarca",Cajamarca,77955
227,Daniel Hernandez Ortiz,Residential,Residential,Jr. 28 de Julio 818,"El Porvenir, Trujillo",La Libertad,34381
228,Gisela Rojas Ruiz,Residential,Residential,Prol. Las Palmeras 969,"Santiago, Cusco",Cusco,85974
229,Roberto Aguilar Valenzuela,Residential,Residential,Calle Caminos del Inca 574,"Centro, Piura",Piura,73965
230,Ricardo Vargas Salazar,Residential,Residential,Jr. Grau 2241,"Yanahuara, Arequipa",Arequipa,65310
231,Milagros Vera Aguilar,Residential,Residential,Calle Los Jazmines 1030,"La Victoria, Chiclayo",Lambayeque,85686
232,Las Bambas,Mining,Enterprise,Calle Tacna 1361,"Bellavista, Callao",Callao,22342
233,Javier Campos Castillo,Residential,Residential,Av. Javier Prado 3459,"Jose Luis Bustamante y Rivero, Arequipa",Arequipa,65116
234,Mariela Delgado Perez,Residential,Residential,Jr. La Encalada 1771,"26 de Octubre, Piura",Piura,94139
235,Pilar Zarate Vera,Residential,Residential,Calle Wilson 950,"Jesus Maria, Lima",Lima,80721
236,Sergio Chavez Delgado,Residential,Residential,Calle Larco 105,"Centro, Iquitos",Loreto,14603
237,Karina Vera Sanchez,Residential,Residential,Av. Benavides 2362,"San Sebastian, Cusco",Cusco,77994
238,Arturo Gutierrez Mamani,Residential,Residential,Jr. Santa Cruz 3123,"Ventanilla, Callao",Callao,87071
239,Cable Magico,Telecommunications,Enterprise,Calle La Marina 527,"Santa Rosa, Chiclayo",Lambayeque,33700
240,Gustavo Romero Vargas,Residential,Residential,Prol. Bolognesi 441,"Santa Rosa, Chiclayo",Lambayeque,35319
241,San Fernando,Food & Beverage,SMB,Psje. Conquistadores 2386,"San Sebastian, Cusco",Cusco,47848
242,Jorge Mamani Perez,Residential,Residential,Av. Abancay 795,"Carmen de la Legua, Callao",Callao,24222
243,CrediScotia,Banking,Enterprise,Jr. El Polo 1892,"Castilla, Piura",Piura,68417
244,Lorena Caceres Vega,Residential,Residential,Prol. Huancavelica 972,"Centro, Piura",Piura,70598
245,Senati,Education,SMB,Psje. El Polo 1251,"Pimentel, Chiclayo",Lambayeque,32750
246,UTEC,Education,SMB,Av. Brasil 1591,"Llacanora, Cajamarca",Cajamarca,70069
247,Julio Rojas Rivera,Residential,Residential,Prol. Huancavelica 2720,"La Punta, Callao",Callao,75173
